name,version,repository,licenses
define-properties,1.1.3,https://github.com/ljharb/define-properties,MIT
dependency-graph,0.11.0,https://github.com/jriecken/dependency-graph,MIT
detect-node,2.1.0,https://github.com/iliakan/detect-node,MIT
dezalgo,1.0.3,https://github.com/npm/dezalgo,ISC
duplexer2,0.1.4,https://github.com/deoxxa/duplexer2,BSD-3-Clause
duplexer3,0.1.4,https://github.com/floatdrop/duplexer3,BSD-3-Clause
electron,13.0.1,https://github.com/electron/electron,MIT
electron-to-chromium,1.3.742,https://github.com/kilian/electron-to-chromium,ISC
emoji-regex,8.0.0,https://github.com/mathiasbynens/emoji-regex,MIT
encodeurl,1.0.2,https://github.com/pillarjs/encodeurl,MIT
end-of-stream,1.4.4,https://github.com/mafintosh/end-of-stream,MIT
env-paths,2.2.1,https://github.com/sindresorhus/env-paths,MIT
es6-error,4.1.1,https://github.com/bjyoungblood/es6-error,MIT
escalade,3.1.1,https://github.com/lukeed/escalade,MIT
escape-string-regexp,1.0.5,https://github.com/sindresorhus/escape-string-regexp,MIT
escape-string-regexp,4.0.0,https://github.com/sindresorhus/escape-string-regexp,MIT
exit-on-epipe,1.0.1,https://github.com/SheetJS/node-exit-on-epipe,Apache-2.0
extract-zip,1.7.0,https://github.com/maxogden/extract-zip,BSD-2-Clause
fd-slicer,1.1.0,https://github.com/andrewrk/node-fd-slicer,MIT
fill-range,7.0.1,https://github.com/jonschlinkert/fill-range,MIT
forma-custom-script-editor,0.0.1,,UNLICENSED
forma-custom-script-editor,0.1.0,,UNLICENSED
fs-constants,1.0.0,https://github.com/mafintosh/fs-constants,MIT
fs-extra,8.1.0,https://github.com/jprichardson/node-fs-extra,MIT
fs.realpath,1.0.0,https://github.com/isaacs/fs.realpath,ISC
fstream,1.0.12,https://github.com/npm/fstream,ISC
function-bind,1.1.1,https://github.com/Raynos/function-bind,MIT
gensync,1.0.0-beta.2,https://github.com/loganfsmyth/gensync,MIT
get-caller-file,2.0.5,https://github.com/stefanpenner/get-caller-file,ISC
get-stream,4.1.0,https://github.com/sindresorhus/get-stream,MIT
get-stream,5.2.0,https://github.com/sindresorhus/get-stream,MIT
glob,7.1.7,https://github.com/isaacs/node-glob,ISC
glob-parent,5.1.2,https://github.com/gulpjs/glob-parent,ISC
global-agent,2.2.0,https://github.com/gajus/global-agent,BSD-3-Clause
global-tunnel-ng,2.7.1,https://github.com/np-maintain/global-tunnel,BSD-3-Clause
globals,11.12.0,https://github.com/sindresorhus/globals,MIT
globalthis,1.0.2,https://github.com/ljharb/System.global,MIT
got,9.6.0,https://github.com/sindresorhus/got,MIT
graceful-fs,4.2.6,https://github.com/isaacs/node-graceful-fs,ISC
has,1.0.3,https://github.com/tarruda/has,MIT
has-flag,3.0.0,https://github.com/sindresorhus/has-flag,MIT
hosted-git-info,2.8.9,https://github.com/npm/hosted-git-info,ISC
http-cache-semantics,4.1.0,https://github.com/kornelski/http-cache-semantics,BSD-2-Clause
ieee754,1.2.1,https://github.com/feross/ieee754,BSD-3-Clause
immer,7.0.15,https://github.com/immerjs/immer,MIT
inflight,1.0.6,https://github.com/npm/inflight,ISC
inherits,2.0.4,https://github.com/isaacs/inherits,ISC
ini,1.3.8,https://github.com/isaacs/ini,ISC
is-binary-path,2.1.0,https://github.com/sindresorhus/is-binary-path,MIT
is-core-module,2.5.0,https://github.com/inspect-js/is-core-module,MIT
is-extglob,2.1.1,https://github.com/jonschlinkert/is-extglob,MIT
is-fullwidth-code-point,3.0.0,https://github.com/sindresorhus/is-fullwidth-code-point,MIT
is-glob,4.0.1,https://github.com/micromatch/is-glob,MIT
is-number,7.0.0,https://github.com/jonschlinkert/is-number,MIT
isarray,1.0.0,https://github.com/juliangruber/isarray,MIT
js-tokens,4.0.0,https://github.com/lydell/js-tokens,MIT
jsesc,2.5.2,https://github.com/mathiasbynens/jsesc,MIT
json-buffer,3.0.0,https://github.com/dominictarr/json-buffer,MIT
json-parse-even-better-errors,2.3.1,https://github.com/npm/json-parse-even-better-errors,MIT
json-stringify-safe,5.0.1,https://github.com/isaacs/json-stringify-safe,ISC
json5,2.2.0,https://github.com/json5/json5,MIT
jsonfile,4.0.0,https://github.com/jprichardson/node-jsonfile,MIT
keyv,3.1.0,https://github.com/lukechilds/keyv,MIT
lazystream,1.0.0,https://github.com/jpommerening/node-lazystream,MIT
license-checker,25.0.1,https://github.com/davglass/license-checker,BSD-3-Clause
listenercount,1.0.1,https://github.com/jden/node-listenercount,ISC
lodash,4.17.21,https://github.com/lodash/lodash,MIT
lodash.defaults,4.2.0,https://github.com/lodash/lodash,MIT
lodash.difference,4.5.0,https://github.com/lodash/lodash,MIT
lodash.flatten,4.4.0,https://github.com/lodash/lodash,MIT
lodash.isplainobject,4.0.6,https://github.com/lodash/lodash,MIT
lodash.union,4.6.0,https://github.com/lodash/lodash,MIT
lowercase-keys,1.0.1,https://github.com/sindresorhus/lowercase-keys,MIT
lowercase-keys,2.0.0,https://github.com/sindresorhus/lowercase-keys,MIT
lru-cache,6.0.0,https://github.com/isaacs/node-lru-cache,ISC
magic-string,0.25.7,https://github.com/rich-harris/magic-string,MIT
matcher,3.0.0,https://github.com/sindresorhus/matcher,MIT
mimic-response,1.0.1,https://github.com/sindresorhus/mimic-response,MIT
minimatch,3.0.4,https://github.com/isaacs/minimatch,ISC
minimist,1.2.5,https://github.com/substack/minimist,MIT
mkdirp,0.5.5,https://github.com/substack/node-mkdirp,MIT
monaco-editor,0.24.0,https://github.com/Microsoft/monaco-editor,MIT
ms,2.0.0,https://github.com/zeit/ms,MIT
ms,2.1.2,https://github.com/zeit/ms,MIT
ngrx-etc,6.0.0,https://github.com/timdeschryver/ngrx-etc,MIT
ngrx-immer,0.0.5,https://github.com/timdeschryver/ngrx-immer,MIT
node-releases,1.1.72,https://github.com/chicoxyzzy/node-releases,MIT
nopt,4.0.3,https://github.com/npm/nopt,ISC
normalize-package-data,2.5.0,https://github.com/npm/normalize-package-data,BSD-2-Clause
normalize-path,3.0.0,https://github.com/jonschlinkert/normalize-path,MIT
normalize-url,4.5.1,https://github.com/sindresorhus/normalize-url,MIT
npm-conf,1.1.3,https://github.com/kevva/npm-conf,MIT
npm-normalize-package-bin,1.0.1,https://github.com/npm/npm-normalize-package-bin,ISC
object-keys,1.1.1,https://github.com/ljharb/object-keys,MIT
once,1.4.0,https://github.com/isaacs/once,ISC
os-homedir,1.0.2,https://github.com/sindresorhus/os-homedir,MIT
os-tmpdir,1.0.2,https://github.com/sindresorhus/os-tmpdir,MIT
osenv,0.1.5,https://github.com/npm/osenv,ISC
p-cancelable,1.1.0,https://github.com/sindresorhus/p-cancelable,MIT
parse5,5.1.1,https://github.com/inikulin/parse5,MIT
path-is-absolute,1.0.1,https://github.com/sindresorhus/path-is-absolute,MIT
path-parse,1.0.7,https://github.com/jbgutierrez/path-parse,MIT
pend,1.2.0,https://github.com/andrewrk/node-pend,MIT
picomatch,2.3.0,https://github.com/micromatch/picomatch,MIT
pify,3.0.0,https://github.com/sindresorhus/pify,MIT
prepend-http,2.0.0,https://github.com/sindresorhus/prepend-http,MIT
prettier,2.3.1,https://github.com/prettier/prettier,MIT
printj,1.1.2,https://github.com/SheetJS/printj,Apache-2.0
process-nextick-args,2.0.1,https://github.com/calvinmetcalf/process-nextick-args,MIT
progress,2.0.3,https://github.com/visionmedia/node-progress,MIT
proto-list,1.2.4,https://github.com/isaacs/proto-list,ISC
pump,3.0.0,https://github.com/mafintosh/pump,MIT
read-installed,4.0.3,https://github.com/isaacs/read-installed,ISC
read-package-json,2.1.2,https://github.com/npm/read-package-json,ISC
readable-stream,2.3.7,https://github.com/nodejs/readable-stream,MIT
readable-stream,3.6.0,https://github.com/nodejs/readable-stream,MIT
readdir-glob,1.1.1,https://github.com/Yqnn/node-readdir-glob,Apache-2.0
readdir-scoped-modules,1.1.0,https://github.com/npm/readdir-scoped-modules,ISC
readdirp,3.5.0,https://github.com/paulmillr/readdirp,MIT
reflect-metadata,0.1.13,https://github.com/rbuckton/reflect-metadata,Apache-2.0
require-directory,2.1.1,https://github.com/troygoode/node-require-directory,MIT
resolve,1.20.0,https://github.com/browserify/resolve,MIT
responselike,1.0.2,https://github.com/lukechilds/responselike,MIT
rimraf,2.7.1,https://github.com/isaacs/rimraf,ISC
roarr,2.15.4,https://github.com/gajus/roarr,BSD-3-Clause
rxjs,6.6.6,https://github.com/reactivex/rxjs,Apache-2.0
safe-buffer,5.1.2,https://github.com/feross/safe-buffer,MIT
safe-buffer,5.2.1,https://github.com/feross/safe-buffer,MIT
sax,1.2.4,https://github.com/isaacs/sax-js,ISC
semver,5.7.1,https://github.com/npm/node-semver,ISC
semver,6.3.0,https://github.com/npm/node-semver,ISC
semver,7.3.5,https://github.com/npm/node-semver,ISC
semver-compare,1.0.0,https://github.com/substack/semver-compare,MIT
serialize-error,7.0.1,https://github.com/sindresorhus/serialize-error,MIT
setimmediate,1.0.5,https://github.com/YuzuJS/setImmediate,MIT
slide,1.1.6,https://github.com/isaacs/slide-flow-control,ISC
source-map,0.5.7,https://github.com/mozilla/source-map,BSD-3-Clause
source-map,0.6.1,https://github.com/mozilla/source-map,BSD-3-Clause
sourcemap-codec,1.4.8,https://github.com/Rich-Harris/sourcemap-codec,MIT
spdx-compare,1.0.0,https://github.com/kemitchell/spdx-compare.js,MIT
spdx-correct,3.1.1,https://github.com/jslicense/spdx-correct.js,Apache-2.0
spdx-exceptions,2.3.0,https://github.com/kemitchell/spdx-exceptions.json,CC-BY-3.0
spdx-expression-parse,3.0.1,https://github.com/jslicense/spdx-expression-parse.js,MIT
spdx-license-ids,3.0.10,https://github.com/jslicense/spdx-license-ids,CC0-1.0
spdx-ranges,2.1.1,https://github.com/kemitchell/spdx-ranges.js,(MIT AND CC-BY-3.0)
spdx-satisfies,4.0.1,https://github.com/kemitchell/spdx-satisfies.js,MIT
sprintf-js,1.1.2,https://github.com/alexei/sprintf.js,BSD-3-Clause
string-width,4.2.2,https://github.com/sindresorhus/string-width,MIT
string_decoder,1.1.1,https://github.com/nodejs/string_decoder,MIT
string_decoder,1.3.0,https://github.com/nodejs/string_decoder,MIT
strip-ansi,6.0.0,https://github.com/chalk/strip-ansi,MIT
sumchecker,3.0.1,https://github.com/malept/sumchecker,Apache-2.0
supports-color,5.5.0,https://github.com/chalk/supports-color,MIT
